state,state_name,fy2026_allotment,n_initiatives,initiative_grain,captured_total,hospital_directed_total,unclear_total,narrative_stated_total,reconciliation_pct,stated_total_matches_award,reconciliation_structure,reconciliation_status,unreconciled_remainder,hospital_directed_pct,unclear_pct,publishable,reconciliation_note
OH,Ohio,202030262,0,,0,,,,0,FALSE,,NO_NARRATIVE,202030262,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
OR,Oregon,197271578,0,,0,,,,0,FALSE,,NO_NARRATIVE,197271578,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
PA,Pennsylvania,193294054,0,,0,,,,0,FALSE,,NO_NARRATIVE,193294054,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
RI,Rhode Island,156169931,0,,0,,,,0,FALSE,,NO_NARRATIVE,156169931,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
SC,South Carolina,200030252,0,,0,,,,0,FALSE,,NO_NARRATIVE,200030252,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
SD,South Dakota,189477607,0,,0,,,,0,FALSE,,NO_NARRATIVE,189477607,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
TN,Tennessee,206888882,0,,0,,,,0,FALSE,,NO_NARRATIVE,206888882,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
TX,Texas,281319361,0,,0,,,,0,FALSE,,NO_NARRATIVE,281319361,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
UT,Utah,195743566,0,,0,,,,0,FALSE,,NO_NARRATIVE,195743566,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
VA,Virginia,189544888,0,,0,,,,0,FALSE,,NO_NARRATIVE,189544888,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
VT,Vermont,195053740,0,,0,,,,0,FALSE,,NO_NARRATIVE,195053740,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
WA,Washington,181257515,0,,0,,,,0,FALSE,,NO_NARRATIVE,181257515,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
WI,Wisconsin,203670005,0,,0,,,,0,FALSE,,NO_NARRATIVE,203670005,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
WV,West Virginia,199476099,0,,0,,,,0,FALSE,,NO_NARRATIVE,199476099,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
WY,Wyoming,205004743,0,,0,,,,0,FALSE,,NO_NARRATIVE,205004743,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
