state,trigger_id,cron_utc,script,cadence,logging_since,old_trigger_id,old_logging_since
ND,trig_016hPY12ZCPgNcbuX1ewcq4J,20 9 * * 3,R/03ba_nd_year1_probe.R,weekly,2026-09-24T19:08:48Z,trig_01DUE8JsjXhHGDndT2N26Phf,2026-09-23T19:45:14Z
WA,trig_012bmEryAscHMsDuUWtyKzKg,10 10 * * 4,R/03bc_wa_year1_probe.R,weekly,2026-09-24T19:08:36Z,trig_01XkZWESmQbqfq58cKuQ84i9,2026-09-23T19:45:14Z
TN,trig_01SqVaGyZ2hGG5eHYQ6h7hHm,30 9 * * 6,R/03ay_tn_year1_awardees.R,weekly,2026-09-24T19:08:25Z,trig_01Ad384uvudquMnQXVHokXTX,2026-09-23T19:45:14Z
DE,trig_01H8kstgWFC659Rek73D9b1h,40 11 * * 1,R/03al_de_year1_awardees.R,weekly,2026-09-24T19:07:55Z,trig_01RB9PBF3nqSifh14FHmdKCb,2026-09-24T14:46:28Z
ID,trig_01XRFZJAXnrtsreEJoRBpMEe,40 12 * * 2,R/03am_id_year1_awardees.R,weekly,2026-09-24T19:07:43Z,trig_013y1xkMRKbEs1uHGY2MaoJx,2026-09-24T14:46:43Z
OH,trig_01NtLzcugxkWTyuWHnjN1FVD,40 13 * * 3,R/03an_oh_year1_awardees.R,weekly,2026-09-24T19:07:32Z,trig_011zGFcAQj1a7MAREdXE4aD2,2026-09-24T14:46:51Z
SD,trig_01HW44U3EtTGp4w6G6CRhpoA,20 12 * * 4,R/03i_sd_rht_contracts.R,weekly,2026-09-24T19:07:21Z,trig_01KnvNUxLstaNqbvVWSshPcm,2026-09-24T14:47:00Z
TX,trig_01XwAApPe2yefaVzjo44ihdL,20 13 * * 5,R/03n_tx_year1_probe.R,weekly,2026-09-24T19:06:54Z,trig_014qMqhzF59uszwLjSJEC5qg,2026-09-24T14:47:10Z
NJ,trig_01CoEij1G5qLGcb2wkLw3tzo,10 12 * * 6,R/03bf_nj_year1_awardees.R,weekly,2026-09-24T19:06:41Z,trig_01UPrPJ31h2G3aLBc68QyB12,2026-09-24T14:47:19Z
NEWSROOM,trig_014MUUH2tbNbHAaKrXFMG6FT,"50 16 * * 1,4",R/03bg_newsroom_sweep.R,twice-weekly,2026-09-24T19:06:30Z,trig_01PFM6vKqJWHtik1CcZ7ZemA,2026-09-24T14:47:30Z
IN,trig_01ARYZjcdJN2zm2fEP3ccDvq,50 9 * * 5,R/03bi_in_grow_regional_awardees.R,weekly,2026-09-24T19:06:11Z,trig_01NZAAixvNoKcZMBKAiCUCYD,2026-09-24T17:31:14Z
NE,trig_019qmwzbTMo9k83etPqjJV7z,30 10 * * 3,R/03r_ne_year1_awardees.R,weekly,2026-09-24T18:02:04Z,,
NV,trig_012WYj2vrKgD7oxuURp3ygCb,"10 15 * * 2,5",R/03u_nv_year1_awardees.R,twice-weekly,2026-09-24T18:02:15Z,,
