state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason
FL,1,CommunityHealth IT,18512061.76,VENDOR_OR_CONTRACTOR,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,VENDOR_OR_CONTRACTOR,,
FL,12,Nova Southeastern University,1300000,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,13,Tampa Family Health Centers,1950000,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,14,Volunteers of America of Florida,563655.1,NONPROFIT_CBO,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,15,CommunityHealth IT,3604189.55,VENDOR_OR_CONTRACTOR,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,VENDOR_OR_CONTRACTOR,,
FL,16,Empowerq Health Care,3204031.91,NONPROFIT_CBO,Unclear,Entity type not determinable from name,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNCLASSIFIED,LOW,RECIPIENT_TYPE_INFERRED
FL,17,Quintero & Kontopoulos (The Fetal Institute),761281.5,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,18,Nuvita Health,769736,NONPROFIT_CBO,Unclear,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNCLASSIFIED,LOW,RECIPIENT_TYPE_INFERRED
FL,19,Florida Association of Free and Charitable Clinics,650000,NONPROFIT_CBO,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,20,Florida International University Board of Trustees,488061.04,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,21,Palm Beach County Medical Society Services,400000,NONPROFIT_CBO,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,22,Broward Community & Family Health Centers,344785.63,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,23,Florida Community Health Centers,316729.31,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,24,Florida International University,389892.01,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,25,VIP Integrative Healthcare,731997.6,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,26,North Brevard County Hospital District (Parrish Medical Center),4416943.86,HOSPITAL_OR_SYSTEM,Yes,Hospital district,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,27,CommunityHealth IT,13352055.07,VENDOR_OR_CONTRACTOR,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,VENDOR_OR_CONTRACTOR,,
FL,28,Florida State University,3309726.42,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,29,Complete Care Management Services ACO,3375136.55,NONPROFIT_CBO,No,ACO,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,30,Florida State University,5611108.4,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,31,Quintero & Kontopoulos (The Fetal Institute),798453.37,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,32,MCR Health,1310893.34,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,33,Nuvita Health,1267676.66,NONPROFIT_CBO,Unclear,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNCLASSIFIED,LOW,RECIPIENT_TYPE_INFERRED
FL,34,Central Florida Health Care,650000,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,35,Florida Association of Free and Charitable Clinics,650000,NONPROFIT_CBO,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,36,Lee Health Systems,1950000,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,37,Tampa Family Health Centers,1950000,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,38,North Brevard County Hospital District (Parrish Medical Center),793064,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,39,Glades County Board of County Commissioners,316680.15,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,LOCAL_GOVT_OR_PUBLIC_HEALTH,,
FL,40,Florida State University Board of Trustees - Pathway 1,669413.42,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,41,University of South Florida,801984.19,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,42,Florida State University Board of Trustees - Pathway 2,348030.06,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,43,South Florida State College,341310.18,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,44,Family Health Centers of Southwest Florida,250318.26,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,45,Florida Department of Health in Highlands County,117723.85,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,LOCAL_GOVT_OR_PUBLIC_HEALTH,,
FL,46,Florida State University,2244186.89,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,47,Northwest Florida Healthcare (Northwest Florida Community Hospital),4081324.85,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,48,Florida State University,5792430.44,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,49,CommunityHealth IT,8190488.08,VENDOR_OR_CONTRACTOR,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,VENDOR_OR_CONTRACTOR,,
FL,50,Escambia Community Clinics (Community Health Northwest Florida),5100801.82,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,51,Florida Agricultural and Mechanical University,4994446.08,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,52,Complete Care Management Services ACO,3357443.37,NONPROFIT_CBO,No,ACO,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,53,Madison County Hospital Health System,4413823.45,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,54,Calhoun-Liberty Hospital,11244802.13,HOSPITAL_OR_SYSTEM,Yes,Largest single hospital award,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,55,Escambia Community Clinics (Community Health Northwest Florida),3715019.44,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,56,North Walton Doctors,4130671.13,HOSPITAL_OR_SYSTEM,Yes,North Walton Doctors Hospital,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,57,Quintero & Kontopoulos (The Fetal Institute),717272.12,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,58,North Florida Medical Centers,1575926.42,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,59,North Florida Medical Centers,901575.9,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,60,Escambia Community Clinics (Community Health Northwest Florida),676181.92,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,61,North Walton Doctors Hospital,450787.95,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,62,Holmes County Hospital Corporation (Doctors Memorial Hospital),225393.97,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,63,North Florida Pediatrics Associates,650000,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,64,Escambia Community Clinics (Community Health Northwest Florida),3900000,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,65,Holmes County Hospital Corporation (Doctors Memorial Hospital),1950000,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,67,Calhoun Liberty Hospital Association,650000,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,68,Florida Agricultural and Mechanical University,1300000,UNIVERSITY_OR_AHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNIVERSITY_OR_AHC,,
FL,69,Florida Sickle Incorporated (The Foundation for Sickle Cell Disease Research),1300000,NONPROFIT_CBO,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,70,Bond Community Health Center,650000,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,71,North Florida Rural Health Corp,650000,NONPROFIT_CBO,Unclear,Entity type not determinable from name,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNCLASSIFIED,LOW,RECIPIENT_TYPE_INFERRED
