state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,flow_type,hospital_benefiting,determination_basis,source_archive_path,recipient_names_source_url,amount_basis,amount_precision,disbursement_status,classification_rule,activity_type_raw,initiative_raw,award_sequence,counties_served,project_description
AL,33,"The Arc of Madison County, Inc.",1340000,NONPROFIT_CBO,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,LOW,RECIPIENT_TYPE_INFERRED,NON_HOSPITAL,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,FALLBACK,Rural Health Initiative,Rural Health Initiative,FIRST,"Madison, Shelby, Walker","The Arc of Madison County, Inc. – $1.34 million to expand the Physician-Assisted Autism Diagnostic Pathways program through virtual occupational therapy, speech therapy and coordinated support for young children after a diagnosis of developmental delay or autism (Madison, Shelby, Walker)."
AL,34,Auburn University,4000000,UNIVERSITY_OR_AHC,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,AMOUNT_ROUNDED_IN_SOURCE,NON_HOSPITAL,No,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Barbour, Bibb, Bullock, Chambers, Clay, Conecuh, Covington, Dale, Franklin, Geneva, Henry, Macon, Marion, Pike, Tallapoosa, Washington","Auburn University – $4 million to create a network of local healthcare access sites connected to a central virtual clinic to expand preventive and primary care in rural communities. The project will use virtual visits and remote health monitoring to connect residents with routine care, specialty services, chronic condition management, mental health support and coordinated care while reducing travel and strengthening rural providers (Barbour, Bibb, Bullock, Chambers, Clay, Conecuh, Covington, Dale, Franklin, Geneva, Henry, Macon, Marion, Pike, Tallapoosa, Washington)."
AL,35,TTC LLC DBA BHG Cullman Treatment Center,339580,NONPROFIT_CBO,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,LOW,RECIPIENT_TYPE_INFERRED,NON_HOSPITAL,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,FALLBACK,Rural Health Initiative,Rural Health Initiative,FIRST,Cullman,"TTC LLC DBA BHG Cullman Treatment Center – $339,580 to implement technology to strengthen access to opioid treatment services, medication management and treatment continuity at the Cullman treatment center (Cullman)."
AL,36,Cahaba Medical Care Foundation,106500,FQHC_OR_RHC,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: federally qualified health center; one of its own awards establishes a further FQHC site. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,OVERRIDE,Rural Health Initiative,Rural Health Initiative,FIRST,"Bibb, Chilton, Perry, Wilcox","Cahaba Medical Care Foundation – This healthcare institution has received two grants under this initiative, including one for $106,500 to establish a two-tier telehealth and specialty consultation program across six rural clinics to expand access to dermatology services closer to home (Bibb, Chilton, Perry, Wilcox)."
AL,37,Cahaba Medical Care Foundation,2280000,FQHC_OR_RHC,No,Rural Health Initiative | second grant to this recipient under this initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,AMOUNT_ROUNDED_IN_SOURCE,NON_HOSPITAL,No,"Curated override: federally qualified health center; one of its own awards establishes a further FQHC site. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar. This is the second of two grants to this recipient under this initiative; the release carries it in a continuation paragraph that names no recipient of its own.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,OVERRIDE,Rural Health Initiative,Rural Health Initiative,SECOND,"Bibb, Dallas, Marengo, Perry, Wilcox","A second grant for $2.28 million will help establish a centralized rural shared-services hub and expand clinical capacity to support new and expanded primary care and behavioral health services across Alabama’s Black Belt (Bibb, Dallas, Marengo, Perry, Wilcox)."
AL,38,Capstone Health,260060,NONPROFIT_CBO,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,LOW,RECIPIENT_TYPE_INFERRED,NON_HOSPITAL,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,FALLBACK,Rural Health Initiative,Rural Health Initiative,FIRST,"Walker, Winston","Capstone Health – $260,060 to establish the Capstone Health Access and Mentorship Partnership to expand local Hepatitis C screening, treatment and care coordination in rural communities in two counties (Walker, Winston)."
AL,39,City of Jackson Healthcare Authority DBA Jackson Medical Center,98300,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Clarke, Washington","City of Jackson Healthcare Authority DBA Jackson Medical Center – $98,300 to establish The Bridge Project, a dedicated non-emergency medical transportation program for mobility-impaired residents and behavioral health patients who need reliable access to healthcare services (Clarke, Washington)."
AL,40,Clay County Healthcare Authority,1540000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,AMOUNT_ROUNDED_IN_SOURCE,DIRECT,Yes,"Recipient name rule: Alabama hospital authority. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,Clay,Clay County Healthcare Authority – $1.54 million to expand primary and specialty care by converting existing office and surgical space into a rural health clinic staffed by a primary care physician (Clay).
AL,41,Crenshaw County Healthcare Authority,1080000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,AMOUNT_ROUNDED_IN_SOURCE,DIRECT,Yes,"Recipient name rule: Alabama hospital authority. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,Crenshaw,"Crenshaw County Healthcare Authority – $1.08 million to establish a tele-psychiatry program to expand access to behavioral health care for rural patients and reduce unnecessary travel, transfers and delays in psychiatric evaluation (Crenshaw)."
AL,42,Dale Medical Center,305775,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Coffee, Dale, Geneva, Henry, Houston, Pike","Dale Medical Center – $305,775 to replace aging mammography equipment with a modern 3D imaging system to preserve local breast cancer screening and support earlier detection (Coffee, Dale, Geneva, Henry, Houston, Pike)."
AL,43,The DCH Health Care Authority,2000000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,AMOUNT_ROUNDED_IN_SOURCE,DIRECT,Yes,"Recipient name rule: Alabama hospital authority. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Fayette, Pickens, Greene, Hale, Lamar, Perry, Sumter, Marengo, Choctaw, Bibb","The DCH Health Care Authority – $2 million to establish a dedicated non-emergency medical transportation program to improve access to healthcare services and support patient movement across west Alabama (Fayette, Pickens, Greene, Hale, Lamar, Perry, Sumter, Marengo, Choctaw, Bibb)."
AL,44,The East Alabama Health Care Authority,6770000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,AMOUNT_ROUNDED_IN_SOURCE,DIRECT,Yes,"Recipient name rule: Alabama hospital authority. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Barbour, Bullock, Chambers, Clay, Elmore, Lee","The East Alabama Health Care Authority – This healthcare institution has received two grants under this initiative, including one for $6.77 million to establish a Regional Shared Services Hub to strengthen the operations and sustainability of rural partner hospitals across the region (Barbour, Bullock, Chambers, Clay, Elmore, Lee)."
AL,45,The East Alabama Health Care Authority,1290000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative | second grant to this recipient under this initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,AMOUNT_ROUNDED_IN_SOURCE,DIRECT,Yes,"Recipient name rule: Alabama hospital authority. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar. This is the second of two grants to this recipient under this initiative; the release carries it in a continuation paragraph that names no recipient of its own.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,SECOND,"Chambers, Macon, Tallapoosa","A second grant for $1.29 million will be used to acquire a mobile outreach bus, replicating a current bus model, connecting residents in underserved rural communities to primary care resources and preventative health screenings (Chambers, Macon, Tallapoosa)."
AL,46,Evergreen Nephrology LLC,891588,PHYSICIAN_PRACTICE,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Recipient name rule: name states a clinical practice. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Blount, Calhoun, Chilton, Cullman, Etowah, Fayette, Jackson, Lauderdale, Limestone, Marion, Marshall, Shelby, St. Clair, Talladega, Walker","Evergreen Nephrology LLC – $891,588 to operate the Evergreen Rural Connected Care program to provide virtual care management and at-home health monitoring for rural residents with chronic kidney disease, high blood pressure, diabetes, heart failure and related conditions (Blount, Calhoun, Chilton, Cullman, Etowah, Fayette, Jackson, Lauderdale, Limestone, Marion, Marshall, Shelby, St. Clair, Talladega, Walker)."
AL,47,Faulkner University,2080000,UNIVERSITY_OR_AHC,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,AMOUNT_ROUNDED_IN_SOURCE,NON_HOSPITAL,No,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Bullock, Butler, Dallas, Lowndes, Macon, Marengo, Perry, Wilcox","Faulkner University – $2.08 million to establish the Eagle Care Mobile Health Network using two mobile healthcare units, virtual visits, remote health monitoring and care coordination to bring ongoing services directly to underserved rural communities (Bullock, Butler, Dallas, Lowndes, Macon, Marengo, Perry, Wilcox)."
AL,48,Floyd Cherokee Medical Center,500000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,Etowah,"Floyd Cherokee Medical Center – $500,000 to replace aging radiography equipment with a modern digital imaging system to maintain reliable access to diagnostic services and reduce delays in diagnosis and treatment (Etowah)."
AL,49,Floyd Healthcare Management DBA Atrium Health Floyd EMS,604470,EMS_OR_PSAP,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,NON_HOSPITAL,No,"Curated override: the DBA names the hospital's EMS division, which is the recipient. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,OVERRIDE,Rural Health Initiative,Rural Health Initiative,FIRST,"Calhoun, Cherokee","Floyd Healthcare Management DBA Atrium Health Floyd EMS – $604,470 to expand the healthcare provider’s existing non-emergency medical transportation program by adding a dedicated transport ambulance and a wheelchair-accessible vehicle to improve access to medically necessary care (Calhoun, Cherokee)."
AL,50,Franklin Primary Health Center Inc.,574091,FQHC_OR_RHC,No,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Recipient name rule: community/primary health center. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Baldwin, Choctaw, Conecuh, Escambia, Monroe","Franklin Primary Health Center Inc. – $574,091 to establish the Franklin Rural Behavioral Health Telehealth and Teleconsult Initiative to expand access to behavioral health services through a hybrid in-person and telehealth model (Baldwin, Choctaw, Conecuh, Escambia, Monroe)."
AL,51,Gadsden Regional Medical Center,150000,HOSPITAL_OR_SYSTEM,Yes,Rural Health Initiative,Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,Rural Health Initiative,Rural Health Initiative,FIRST,"Cherokee, Etowah","Gadsden Regional Medical Center – $150,000 to establish a non-emergency transportation service by purchasing a wheelchair-accessible van and hiring a full-time driver (Cherokee, Etowah)."
