state,named_organization,org_type,context,source,status,confirmed_recipient,confirmation_source,reviewed_by
NE,Creighton University,UNIVERSITY_OR_AHC,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Local Health Departments,LOCAL_GOVT_OR_PUBLIC_HEALTH,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska Association of Local Health Departments,NONPROFIT_CBO,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska County Extension Offices,LOCAL_GOVT_OR_PUBLIC_HEALTH,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska Department of Education,STATE_AGENCY,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska Enhanced Services Pharmacies,VENDOR_OR_CONTRACTOR,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska Hospital Association,NONPROFIT_CBO,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska Medical Association,NONPROFIT_CBO,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Nebraska Perinatal Quality Improvement Collaborative,NONPROFIT_CBO,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Rural hospitals and clinics (unnamed),HOSPITAL_OR_SYSTEM,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Tribal Organizations,TRIBAL_ORG,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,UNMC School of Dentistry,UNIVERSITY_OR_AHC,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,University of Nebraska Kearney,UNIVERSITY_OR_AHC,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,University of Nebraska system,UNIVERSITY_OR_AHC,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,Community Behavioral Health Association,NONPROFIT_CBO,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,Community College System of New Hampshire,UNIVERSITY_OR_AHC,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,Community Development Finance Authority,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,Foundation for Healthy Communities,NONPROFIT_CBO,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,NH Alcohol and Drug Abuse Counselors,NONPROFIT_CBO,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,New Hampshire Department of Education,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NH,University System of New Hampshire,UNIVERSITY_OR_AHC,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NJ,Montclair University,UNIVERSITY_OR_AHC,Named partner,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NJ,SciTech Scity,VENDOR_OR_CONTRACTOR,Named partner,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NJ,University Hospital,HOSPITAL_OR_SYSTEM,Named partner,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
OK,Health Workforce Training Commission,STATE_AGENCY,Named administering agency/subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
OK,Oklahoma Association of Rural Councils,NONPROFIT_CBO,Named administering agency/subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
OK,Oklahoma Department of Career and Technical Education,STATE_AGENCY,Named administering agency/subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
OK,Oklahoma Health Care Authority,STATE_AGENCY,Named administering agency/subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
OK,Oklahoma State Department of Education,STATE_AGENCY,Named administering agency/subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
OR,Nine Federally Recognized Tribes of Oregon,TRIBAL_ORG,Named set-aside recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
PA,PA Area Health Education Center (AHEC),AHEC,Named sub-awardee organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
PA,Partnerships for Regional Economic Performance regions (8),NONPROFIT_CBO,Named sub-awardee organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
PA,University of Pittsburgh-Medicaid Research Center,UNIVERSITY_OR_AHC,Named sub-awardee organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Block Island Health Services,NONPROFIT_CBO,Named subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Care Transformation Collaborative of Rhode Island (CTC-RI),NONPROFIT_CBO,Named subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Eleanor Slater Hospital (Zambarano campus),HOSPITAL_OR_SYSTEM,Named site of a funded initiative (Initiative 7 special-care dental center),CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Hospital Association of Rhode Island (HARI),NONPROFIT_CBO,Named subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Narragansett Indian Tribe,TRIBAL_ORG,Named subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Rhode Island Health Center Association (RIHCA),NONPROFIT_CBO,Named subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
RI,Rhode Island League of Cities and Towns,LOCAL_GOVT_OR_PUBLIC_HEALTH,Named subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Hospitals and health systems (unnamed),HOSPITAL_OR_SYSTEM,Additional subrecipients to be competitively selected,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Center for Health Innovation,NONPROFIT_CBO,Named subrecipient organization (evaluation partner),CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Department of Education,STATE_AGENCY,Named subrecipient organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Foundation for Community College Education,NONPROFIT_CBO,Named subrecipient organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Health Care Foundation,NONPROFIT_CBO,Named subrecipient organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Hospital Research and Education Foundation,NONPROFIT_CBO,Named subrecipient organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Innovation Partnership Corporation,NONPROFIT_CBO,Named subrecipient organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
VA,Virginia Works,STATE_AGENCY,Named subrecipient organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Area Agencies on Aging,LOCAL_GOVT_OR_PUBLIC_HEALTH,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Department of Health (incl. State Office of Rural Health),STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Department of Social and Health Services,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Project Extension for Community Health Outcomes (ECHO),UNIVERSITY_OR_AHC,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Rural Health Redesign Center,NONPROFIT_CBO,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,The Rural Collaborative,NONPROFIT_CBO,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,University of Washington,UNIVERSITY_OR_AHC,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Washington State Hospital Association,NONPROFIT_CBO,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
WA,Washington State University (WSU),UNIVERSITY_OR_AHC,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
