filed_under,foreign_states_named,award_tier,amount_announced,awardee_name_clean,source_doc_title,record_id,misattributed,verdict,note
MI,SD,SUBAWARD,31500000,South Dakota (Rural Strong grants),"MI - 2026 - July 2026: Responding to H.R. 1, States Are Communicating About Medicaid Work Reporting Requirements and Implementing RHTP Efforts",42b92bd8-03bc-459c-8e58-9a920022d44d,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
MI,SD,SOLICITATION,,,MI - 2026 - South Dakota NOFO Announcing First Round of RHTP Requests for Proposals for Caregiver Support and Workforce Training,9b9a08dc-3ae8-4fdc-99c7-dcf1aa249d45,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
MO,MI,SOLICITATION,,,MO - 2026 - MIH-CP New Site Program Application Checklist,d5b4606f-fa5b-4efa-8362-443a520e64b2,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
ND,UT,UNASSIGNED,,,"ND - 2026 - Rural Health Connect Improving the health of rural communities In this issue: September 2, 2026",ec44a9cd-5c62-440e-a5be-55c456970599,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
ND,AR,UNASSIGNED,209000000,,ND - 2026 - Sanders Announces Applications are Open for $209 Million in RHT Funds,b93cc474-010a-447d-85ad-c8bfef3e5b6c,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
ND,AR,UNASSIGNED,209000000,,ND - 2026 - Sanders Announces Applications are Open for $209 Million in RHT Funds (url),80a88042-37ac-4207-b2ff-ab33a7dfe710,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
NM,OR,UNASSIGNED,5464316,,NM - 2026 - Wallowa Memorial Hospital and Medical Clinics awarded over $5.4 million in federal RHT Funds,4babf0af-75fc-46dc-a44d-d8731f5520ae,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
NM,OR,SUBAWARD,1965251,Wallowa County Health Care District - Rural Maternal and Newborn Health Sustainability Initiative,NM - 2026 - Wallowa Memorial Hospital and Medical Clinics awarded over $5.4 million in federal RHT Funds,4e3c2e97-6e50-4994-94e9-1caf781dc997,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
WA,FL,UNASSIGNED,42200000,,WA - 2026 - Cammack Delivers: More Than $42 Million in Rural Health Investments for North Central Florida,29d2148e-f719-45f0-9055-7a8f7628c668,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
WY,UT,SOLICITATION,,,WY - 2026 - PATH 1.4 Community Care Hubs RFGA,58e871aa-51aa-46bf-9c8c-27269a330832,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
WY,UT,SOLICITATION,,,WY - 2026 - SPRINT Consortium RHTP Grant Application,3e70da1b-5839-44f5-b815-bf645fe11402,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
NM,OR,SUBAWARD,964000,Wallowa Memorial Hospital,NM - 2026 - Wallowa Memorial Hospital and Medical Clinics awarded over $5.4 million in federal RHT Funds,2622ee3b-8cfd-43be-acfc-2d57e98b9449,TRUE,MISFILED_SAME_DOCUMENT,Names no state itself; its source document is hand-read as wholly another state's (SWEEP_MISFILED_DOCUMENTS). Invisible to the name test.
NM,OR,SUBAWARD,400000,Wallowa Memorial Hospital - Rural Health Clinics,NM - 2026 - Wallowa Memorial Hospital and Medical Clinics awarded over $5.4 million in federal RHT Funds,6a645ede-3fd1-456c-896a-12db2877106c,TRUE,MISFILED_SAME_DOCUMENT,Names no state itself; its source document is hand-read as wholly another state's (SWEEP_MISFILED_DOCUMENTS). Invisible to the name test.
NM,OR,SUBAWARD,5464316,Wallowa Memorial Hospital and Medical Clinics,NM - 2026 - Wallowa Memorial Hospital and Medical Clinics awarded over $5.4 million in federal RHT Funds,a4539590-daf9-4fd8-b3d0-740884605147,TRUE,MISFILED_SAME_DOCUMENT,Names no state itself; its source document is hand-read as wholly another state's (SWEEP_MISFILED_DOCUMENTS). Invisible to the name test.
IN,MI;WV,UNASSIGNED,,,"IN - 2026 - RHTP Daily update · May 15, 2026",a9ac0be5-58de-42b2-8006-12f1f8e88204,TRUE,MULTI_STATE_DIGEST,"A national RHTP round-up naming several states, filed under each. Not a misfiling and not a subaward."
MI,MT,UNASSIGNED,,,"MI - 2026 - July 2026: Responding to H.R. 1, States Are Communicating About Medicaid Work Reporting Requirements and Implementing RHTP Efforts",05646180-67a2-4c3e-a3fb-23804b4ea2c0,TRUE,MULTI_STATE_DIGEST,"A national RHTP round-up naming several states, filed under each. Not a misfiling and not a subaward."
WV,MI,UNASSIGNED,,,"WV - 2026 - RHTP Daily update · May 15, 2026",0d0c37db-7b0d-47c8-8c85-bc531077f40a,TRUE,MULTI_STATE_DIGEST,"A national RHTP round-up naming several states, filed under each. Not a misfiling and not a subaward."
PA,WA,SUBAWARD,452800,Mainstream Counseling,PA - 2025 - Rural Health Selected Projects: Pa RHT Plan (RHTP) Authorized Project Awards,79801c3b-106a-4d7f-a54a-4f2380163c44,TRUE,STREET_ADDRESS,"A street address -- ""905 Washington Street""."
IN,FL,UNASSIGNED,,,IN - 2025 - RFP 27-87793 Question & Inquiry Form,23c4c487-118d-4cfd-8bcd-a8ca794efacc,TRUE,SUMMARY_NAMES_WRONG_STATE,The record is correctly filed; RCJ's MACHINE-GENERATED description names another state (§6: a summary field is never evidence).
