state,url_host,n_references,example_url,last_seen_activity,lead_agency,program_page_url,award_posting_url,pass_through_admin,pass_through_admin_url,fy2026_allotment,last_verified,verified_by,note
GA,https://healthcareworkforce.georgia.gov,3,https://healthcareworkforce.georgia.gov/georgia-board-health-care-workforce-grants/grant-opportunities-timeline,2026-08-15,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
GA,https://www.gha.org,3,https://www.gha.org/Advocacy/Rural-Healthcare/Rural-Health-Transformation-Program,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
HI,https://health.hawaii.gov,3,https://health.hawaii.gov/news,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
HI,https://governor.hawaii.gov,2,https://governor.hawaii.gov/newsroom/office-of-the-governor-news-release-hawaii-awarded-188-9-million-to-transform-rural-healthcare,2026-08-19,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
HI,https://engage.hawaii.gov,1,https://engage.hawaii.gov/rhtp/,2026-04-15,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IA,https://hhs.iowa.gov,7,https://hhs.iowa.gov/about/funding-opportunities/community-access-and-eligibility-rfp,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IA,https://governor.iowa.gov,2,https://governor.iowa.gov/press-release/2026-01-30/iowa-first-nation-award-rural-health-transformation-program-funding,2026-08-22,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IA,https://bidopportunities.iowa.gov,1,https://bidopportunities.iowa.gov/,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ID,https://publicdocuments.dhw.idaho.gov,18,https://publicdocuments.dhw.idaho.gov/WebLink/Browse.aspx?id=37354&dbid=0&repo=PUBLIC-DOCUMENTS,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ID,https://healthandwelfare.idaho.gov,3,https://healthandwelfare.idaho.gov/providers/rural-health-transformation-program-grant/funding-opportunities-rural-health,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ID,https://gov.idaho.gov,1,https://gov.idaho.gov/pressrelease/idaho-awarded-nearly-1-billion-to-improve-rural-healthcare-access-affordability,2026-05-22,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IL,https://hfs.illinois.gov,3,https://hfs.illinois.gov/info/media.html,2026-08-20,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IL,https://www.icahn.org,2,https://www.icahn.org/rhtp,2026-08-21,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IN,https://www.in.gov,50,https://www.in.gov/idoa/proc/solicitations/files/001000000087941.zip,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
IN,https://gn.ecivis.com,2,https://gn.ecivis.com/GO/gn_redir/T/1ttslfxhesbiz/IFRAME/true,2026-07-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KS,https://www.kdhe.ks.gov,3,https://www.kdhe.ks.gov/m/NewsFlash/home/detail/1978,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KS,https://www.governor.ks.gov,2,https://www.governor.ks.gov/Home/Components/News/News/876/55,2026-07-14,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KS,https://www.kdads.ks.gov,1,https://www.kdads.ks.gov/partners-providers/funding-opportunities,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KS,https://www.kha-net.org,1,https://www.kha-net.org/aboutkha/healthworks/projects/rhtp/,2026-07-30,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KY,https://www.chfs.ky.gov,4,https://www.chfs.ky.gov/_layouts/download.aspx?SourceUrl=https://www.chfs.ky.gov/agencies/os/oas/Documents/RHT%20-%20Community%20Health%20Worker%20-%20Attachment%20A%20-%20Budget%20Template.xlsx,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KY,https://ruralhealthplan.ky.gov,2,https://ruralhealthplan.ky.gov/Pages/Request_For_Applications.aspx,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KY,https://healthy-ky.org,1,https://healthy-ky.org/rch,2026-07-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
KY,https://www.kentucky.gov,1,https://www.kentucky.gov/Pages/Activity-stream.aspx?m=47&n=GovernorBeshear&prId=2666,2026-04-23,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
LA,https://ldh.la.gov,5,https://ldh.la.gov/page/rhtp-funding-opportunities,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
LA,https://rhtla.net,3,https://rhtla.net/landing,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MA,https://www.mass.gov,4,https://www.mass.gov/doc/rural-health-transformation-program-application/download,2026-08-01,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MD,https://health.maryland.gov,5,https://health.maryland.gov/pophealth/Pages/RHTP-Procurement.aspx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MD,https://governor.maryland.gov,2,https://governor.maryland.gov/news/press/pages/governor-moore-signs-executive-order-to-modernize-and-strengthen-equitable-access-to-state-procurement-system.aspx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MD,https://procurement.maryland.gov,1,https://procurement.maryland.gov/training,2026-08-15,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ME,https://www.maine.gov,9,https://www.maine.gov/dhhs/oms/providers/provider-bulletins,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ME,https://www.mcd.org,2,https://www.mcd.org/focus-areas/maine-rural-health-transformation-program,2026-08-17,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ME,https://www1.maine.gov,2,https://www1.maine.gov/doe/index.php/pathways/healthcareexplorations,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ME,https://www11.maine.gov,1,https://www11.maine.gov/dhhs/mecdc/sites/maine.gov.dhhs.mecdc/files/documents/RHTP%20%20Maine%20RHTP_Summary_09-16-2025.pdf,2026-07-17,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MI,https://www.michigan.gov,15,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MI,https://www.mha.org,2,https://www.mha.org/mha-center-of-rural-excellence/rural-health-transformation-program,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MN,https://taggs.hhs.gov,5,https://taggs.hhs.gov/Detail/AwardDetail,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MN,https://www.health.state.mn.us,3,https://www.health.state.mn.us/facilities/ruralhealth/ruraltrans/grants.html,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MO,https://governor.mo.gov,4,https://governor.mo.gov/press-releases,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MO,https://memsa.org,4,https://memsa.org/rht-funding/rht-pillar-3-ems-agency-consolidation,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MO,https://dss.mo.gov,3,https://dss.mo.gov/bids/files/ifb-DSS26015-ToRCH-Care-Smart-Growth-and-Service-Line-Modification.docx,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MO,https://ctf4kids.org,2,https://ctf4kids.org/ctf-funding-opportunities,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MO,https://mydss.mo.gov,2,https://mydss.mo.gov/mhd/rural-health,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MS,https://mississippirhtp.com,10,https://mississippirhtp.com/funding,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MS,https://medicaid.ms.gov,5,https://medicaid.ms.gov/resources/procurement/contract-award-analysis-reports,2026-08-23,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MT,https://dphhs.mt.gov,12,https://dphhs.mt.gov/RuralHealthTransformationProgram/CoE,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MT,https://mtha.org,4,https://mtha.org/rhtp-latest-news-archive,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MT,https://bids.mt.gov,2,https://bids.mt.gov/,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
MT,https://bids.sciquest.com,1,https://bids.sciquest.com/apps/Router/PublicEvent?tab=PHX_NAV_SourcingOpenForBid&CustomerOrg=StateOfMontana&SourcingPublicSite_FilterWorkGroup_PublicSite=%5B%5D&SourcingPublicSite_FILTER_BY_BUSINESS_UNIT=undefined&SourcingPublicSite_FILTER_BY_BUSINESS_UNIT_buDisplayName=&SimpleSearch_Keyword=&tmstmp=1778870788043,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NC,https://trilliumhealthresources.org,4,https://trilliumhealthresources.org/NC-ROOTS-Region-2,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NC,https://www.ncdhhs.gov,4,https://www.ncdhhs.gov/divisions/office-rural-health/rural-health-transformation-program,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NC,https://hpp.nc.gov,2,https://hpp.nc.gov/mobile-integrated-health-rfa,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NC,https://governor.nc.gov,1,https://governor.nc.gov/news/press-releases/2025/11/21/north-carolina-applies-200-million-rural-health-transformation-program,2026-04-23,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
ND,https://www.hhs.nd.gov,4,https://www.hhs.nd.gov/rural-health-transformation/funding,2026-08-21,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NE,https://dhhs.ne.gov,8,https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RFI%20August%202026.docx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NH,https://www.dhhs.nh.gov,4,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/inline-documents/sonh/rfp-2027-dph-09-ochse-app-f-deliver.xlsx,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NH,https://www.gonorth.nh.gov,3,https://www.gonorth.nh.gov/funding-opportunities-0,2026-08-20,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NH,https://bids.sciquest.com,2,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=USNH,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NH,https://healthynh.org,2,https://healthynh.org/initiatives/rural-health-transformation-program,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NH,https://nhcbha.org,1,https://nhcbha.org/,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NJ,https://healthapps.nj.gov,2,https://healthapps.nj.gov/noticeofgrant/noticegrants.aspx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NJ,https://www.nj.gov,1,https://www.nj.gov/health/fhs/primarycare/rural-health/,2026-08-07,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NM,https://www.hca.nm.gov,3,https://www.hca.nm.gov/rural-health-transformation-program,2026-08-14,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NV,https://www.nvha.nv.gov,10,https://www.nvha.nv.gov/RHTP/rht-nofos/,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NY,https://health.ny.gov,3,https://health.ny.gov/facilities/transforming_rural_healthcare,2026-08-20,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NY,https://www.health.ny.gov,2,https://www.health.ny.gov/funding,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
NY,https://www.nyscr.ny.gov,2,https://www.nyscr.ny.gov/,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
OH,https://odh.ohio.gov,6,https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/rural-health-transformation-program/media/rh-transformation-letter,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
OH,https://governor.ohio.gov,2,https://governor.ohio.gov/media/news-and-media/governor-dewine-announces-ohios-rural-health-transformation-program-award,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
OK,https://oklahoma.gov,9,https://oklahoma.gov/health/rhtp.html,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
OR,https://www.oregon.gov,7,https://www.oregon.gov/oha/erd/pages/oregon-organizations-awarded-federal-funding-to-improve-rural-healthcare-04.10.2026.aspx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
OR,https://content.govdelivery.com,1,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,2026-06-09,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
PA,https://www.pa.gov,5,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rhtp-funding-opportunities,2026-08-21,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
RI,https://eohhs.ri.gov,6,https://eohhs.ri.gov/initiatives/rural-health-transformation-program/rural-stakeholder-advisory-council,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
RI,https://governor.ri.gov,5,https://governor.ri.gov/press-releases,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
RI,https://health.ri.gov,4,https://health.ri.gov/healthcare/rural-health-transformation-program,2026-08-20,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
RI,https://ridop.ri.gov,3,https://ridop.ri.gov/agency-procurement-club-and-campus,2026-08-19,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SC,https://www.scdhhs.gov,12,https://www.scdhhs.gov/communications/scdhhs-receives-grant-invest-maternal-health-care,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SC,http://www.scdhhs.gov,1,http://www.scdhhs.gov/RHTP,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SC,https://scdhhs.gov,1,https://scdhhs.gov/rhtp,2026-08-18,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SC,https://scorh.net,1,https://scorh.net/fundingopportunities/,2026-07-31,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SD,https://doh.sd.gov,7,https://doh.sd.gov/media/dw2b1tic/rht-funding-forecast.pdf,2026-08-20,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SD,https://postingboard.esmsolutions.com,2,https://postingboard.esmsolutions.com/3444a404-3818-494f-84c5-2a850acd7779/events,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SD,https://sdaho.org,2,https://sdaho.org/2026/04/02/new-rural-strong-grant-opportunity-for-south-dakota-providers,2026-08-22,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SD,https://sdhealthlink.org,1,https://sdhealthlink.org/healthlink-resources/rural-health-transformation-funding/,2026-06-19,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
SD,https://sourcing.esmsolutions.com,1,https://sourcing.esmsolutions.com/postingboard/entities/3444a404-3818-494f-84c5-2a850acd7779,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TN,https://www.tn.gov,9,https://www.tn.gov/content/dam/tn/generalservices/documents/cpo/swc-files/700/swc-700/SWC_700_Usage_Instructions.docx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TN,https://tha.com,2,https://tha.com/advocacy/rural-health-transformation-program,2026-08-19,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TN,https://c2cre237.caspio.com,1,https://c2cre237.caspio.com/dp/4cdb40003c407a2328014c28a496,2026-06-03,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TN,https://tndeptofhealth.caspio.app,1,https://tndeptofhealth.caspio.app/tdh-partner-portal/home,2026-06-16,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TX,https://gov.texas.gov,7,https://gov.texas.gov/organization/military/grants,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TX,https://hhsgrant.my.site.com,6,https://hhsgrant.my.site.com/Grants,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TX,https://resources.hhs.texas.gov,3,https://resources.hhs.texas.gov/rfa,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
TX,https://pfd.hhs.texas.gov,1,https://pfd.hhs.texas.gov/rural-health-transformation-program,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
UT,https://docs.google.com,9,https://docs.google.com/document/d/1GEbypfzMcuyJFrBFUMox4UdPQInx-pQNLjfWAOTnFTY/export?format=docx,2026-08-24,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
UT,https://dhhs.utah.gov,6,https://dhhs.utah.gov/ruralhealth/cms-information,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
UT,https://ruralhealth.utah.gov,2,https://ruralhealth.utah.gov,2026-04-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
VA,https://vhhafoundation.org,3,https://vhhafoundation.org/virginia-rural-health-transformation/,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
VA,https://www.ruralhealthtransformationva.virginia.gov,3,https://www.ruralhealthtransformationva.virginia.gov/,2026-08-22,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
VA,https://www.vhcf.org,3,https://www.vhcf.org/rural-health,2026-08-22,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
