state,state_name,noa_date,noa_date_basis,statute_date,statute_citation,source_url,source_archive_path,source_sha256,notes
HI,Hawaii,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
ID,Idaho,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
IL,Illinois,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
IN,Indiana,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
IA,Iowa,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
KS,Kansas,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
KY,Kentucky,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
LA,Louisiana,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
ME,Maine,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MD,Maryland,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MA,Massachusetts,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MI,Michigan,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MN,Minnesota,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MS,Mississippi,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MO,Missouri,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
MT,Montana,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NE,Nebraska,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NV,Nevada,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NH,New Hampshire,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NJ,New Jersey,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NM,New Mexico,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NY,New York,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
NC,North Carolina,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
ND,North Dakota,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
OH,Ohio,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
OK,Oklahoma,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
OR,Oregon,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
PA,Pennsylvania,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
RI,Rhode Island,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
