queue_row,state,recipient_name,match_name,queue_code,queue_source,direction,dollars_at_stake,award_rows,classifier_assigned,current_coding,verified_type,verified_by,verified_date,basis,basis_type
25,MD,MPhA Foundation,MPhA Foundation,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2399650,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://marylandpharmacist.org/,ORG_WEBSITE
26,KS,South Central Kansas Health,South Central Kansas Health,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2378188,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://mihin.org/,ORG_WEBSITE
27,MI,Michigan Health Information Network (MiHIN),Michigan Health Information Network (MiHIN),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2300000,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,VENDOR_OR_CONTRACTOR,MPB,46282,Verified on website: https://sckhealth.org/,ORG_WEBSITE
28,KS,Labette Health,Labette Health,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2145677,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://www.labettehealth.com/,ORG_WEBSITE
29,KS,InterHab (StationMD),InterHab (StationMD),KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2028980,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Could also be a contractor - StationMD provides contracted telehealth services to agencies and organizations,GENERAL_KNOWLEDGE
30,KS,Greeley County Health Services,Greeley County Health Services,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2000192,2,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No | NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://greeley.health/,ORG_WEBSITE
31,MI,Community Mental Health Association of Michigan,Community Mental Health Association of Michigan,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2000000,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://cmham.org/,ORG_WEBSITE
32,MI,Michigan Primary Care Association (MPCA),Michigan Primary Care Association (MPCA),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://www.mpca.net/,ORG_WEBSITE
33,KS,PrairieStar Health Center,PrairieStar Health Center,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1987287,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,FQHC_OR_RHC,MPB,46282,Verified on website: https://www.pshcks.org/,ORG_WEBSITE
34,OR,"ORTC, LLC","ORTC, LLC",OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1978307.65,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,MPB,46282,Verified on website: https://ortc.care/,ORG_WEBSITE
35,MD,Choptank Community Health System Inc,Choptank Community Health System Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,DOWN,1976042,1,HOSPITAL_OR_SYSTEM / MEDIUM,DIRECT / distributed_to_hospital = Yes,FQHC_OR_RHC,MPB,46282,Verified on website: https://www.choptankhealth.org/,ORG_WEBSITE
36,MD,Center for a Healthy Maryland Inc,Center for a Healthy Maryland Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1935651,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://healthymaryland.org/,ORG_WEBSITE
37,MD,West Cecil Health Center,West Cecil Health Center,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1855407,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,FQHC_OR_RHC,MPB,46282,Verified on website: https://www.westcecilhealth.org/about-us,ORG_WEBSITE
38,MD,Mid-Shore Behavioral Health Inc,Mid-Shore Behavioral Health Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1800000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://midshorebehavioralhealth.org/about/,ORG_WEBSITE
39,OR,"Equity Dental, LLC","Equity Dental, LLC",OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1733535.75,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,MPB,46282,Verified on website: https://www.myequitydental.com/,ORG_WEBSITE
40,KS,Iroquois Center for Human Development,Iroquois Center for Human Development,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1720957,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://www.irqcenter.com/,ORG_WEBSITE
41,WY,Campbell County Health (CCH) Emergency Medical Servic,Campbell County Health (CCH) Emergency Medical Servic,WY_EMS_LEAD_AGENCY_FORM,COMMITTED_QUEUE,UP,1700000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,EMS Department part of Campell County Health https://www.cchwyo.org/services/emergency-care/ems/,ORG_WEBSITE
42,KS,High Plains Mental Health Center,High Plains Mental Health Center,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1660879,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"This is an edge case. Community mental health centers (CMHCs) and Certified Community Behavioral Health Clinics (CCBHCs) don't fit any of the nine categories well. They're safety-net clinic providers, much like FQHCs, but they aren't FQHCs or RHCs. So I put this one in NONPROFIT_CBO as a private nonprofit.",GENERAL_KNOWLEDGE
43,AL,Ivy Creek Healthcare,Ivy Creek Healthcare,AL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1660000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,IN,46286,Verified on website: https://ivycreekhealth.com/,ORG_WEBSITE
44,MI,Superior Health Foundation,Superior Health Foundation,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1615000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,501(c)(3) health conversion foundation (EIN 20-3615349) that makes grants across Michigan's Upper Peninsula,GENERAL_KNOWLEDGE
45,MI,Michigan 2-1-1,Michigan 2-1-1,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"501(c)(3), EIN 05-0609172, operating under the Michigan Association of United Ways. It coordinates and funds the statewide 2-1-1 health and human services referral network through seven regional contact centers.",GENERAL_KNOWLEDGE
46,MI,Michigan Health Improvement Alliance (MiHIA),Michigan Health Improvement Alliance (MiHIA),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"01(c)(3) public charity, EIN 45-2133862, NTEE E05 (Health). Founded in 2007, it is a collaborative of health systems, public health, universities, businesses, and social services working on population health across 14 mostly rural counties in central and eastern Michigan.",GENERAL_KNOWLEDGE
47,MI,Upper Peninsula Commission for Area Progress (UPCAP),Upper Peninsula Commission for Area Progress (UPCAP),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"The call could go the other way. UPCAP is legally a nonprofit, but it works like a quasi-public regional agency: each U.P. county has an official on its board, and county boards review its aging plans",GENERAL_KNOWLEDGE
48,MI,"Upper Peninsula Health Care Solutions, Inc.","Upper Peninsula Health Care Solutions, Inc.",MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"A 501(c)(3) nonprofit network of U.P. hospitals. It runs shared services for its members, including joint purchasing, mobile MRI, Project ECHO, and the Upper Peninsula Health Information Exchange. It does not operate a hospital itself.",GENERAL_KNOWLEDGE
49,KS,Kansas Council on Developmental Disabilities,Kansas Council on Developmental Disabilities,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1460000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,LOCAL_GOVT_OR_PUBLIC_HEALTH,IN,46286,A state government body created by Kansas statute (K.S.A. 74-5501) and required under the federal Developmental Disabilities Act.,GENERAL_KNOWLEDGE
50,MD,Trusted Doctors,Trusted Doctors,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1457596,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,IN,46286,A large pediatric medical group serving Virginia and Maryland,GENERAL_KNOWLEDGE
51,MD,Greater Baden Medical Services Inc,Greater Baden Medical Services Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1448100,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,FQHC_OR_RHC,IN,46286,Verified with press release: https://gbms.org/gbms-awarded-over-2-4-million-to-expand-healthcare-access-md-counties/,ORG_WEBSITE
52,KS,AdventHealth Ottawa,AdventHealth Ottawa,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1395814,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,IN,46286,"A 44-bed nonprofit acute-care hospital and Level IV trauma center, formerly Ransom Memorial Hospital, operated by AdventHealth since 2019",GENERAL_KNOWLEDGE
53,AR,Children's Advocacy Centers of Arkansas,Children's Advocacy Centers of Arkansas,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1374505.29,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"501(c)(3), EIN 56-2417905. It is the state chapter of the National Children's Alliance and supports a network of 28 local child advocacy centers across Arkansas.",GENERAL_KNOWLEDGE
54,MD,Tru Primary Care,Tru Primary Care,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1370000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,IN,46286,"Listed in Maryland's Pillar 2 ""Expand Primary Care Access"" award offers as a primary care practice",STATE_SOURCE
55,KS,Kanza Mental Health & Guidance Center,Kanza Mental Health & Guidance Center,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1354975,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"501(c)(3), EIN 48-0940011. Nonprofit community mental health center founded in 1963 and now a Certified Community Behavioral Health Clinic.",GENERAL_KNOWLEDGE
56,AL,"The Arc of Madison County, Inc.","The Arc of Madison County, Inc.",AL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1340000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"Tax-exempt nonprofit (EIN 63-0418986) serving people with intellectual and developmental disabilities,",GENERAL_KNOWLEDGE
57,AL,Touchstone Residential Services DBA Touchstone Transport,Touchstone Residential Services DBA Touchstone Transport,AL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1120000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,IN,46286,veteran-owned non-emergency medical transportation service provider,GENERAL_KNOWLEDGE
58,OR,"Alano Club, Comagine Health, Tabor North","Alano Club, Comagine Health, Tabor North",OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1113000,1,NONPROFIT_CBO / LOW,PASS_THROUGH_UNRESOLVED / distributed_to_hospital = Unclear,NONPROFIT_CBO,IN,46286,"Combined award for naloxone distribution, not a hospital",GENERAL_KNOWLEDGE
59,OR,Medical Teams International,Medical Teams International,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1096657,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,Faith-based humanitarian nonprofit founded in 1979. Runs a fleet of mobile clinics giving free dental and medical care across Oregon and Washington.,GENERAL_KNOWLEDGE
60,MD,Mountain Laurel Medical Center,Mountain Laurel Medical Center,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,DOWN,1058750,1,HOSPITAL_OR_SYSTEM / HIGH,DIRECT / distributed_to_hospital = Yes,FQHC_OR_RHC,IN,46286,Verified on website: https://www.mtnlaurel.org/patient-rights/,ORG_WEBSITE
61,MD,Miles River Primary Care,Miles River Primary Care,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1028000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,IN,46286,"Listed in Maryland's Pillar 2 primary care award offers: $1,028,000 to open a new office serving 1,000 new patients on the Eastern Shore.",STATE_SOURCE
62,MI,Region IV Area Agency on Aging (AAA),Region IV Area Agency on Aging (AAA),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1016667,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46286,"Area Agency on Aging for Berrien, Cass, and Van Buren counties in Southwest Michigan",GENERAL_KNOWLEDGE
63,WY,Community Strong LLC,Community Strong LLC,WY_CARE_COORDINATION_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1001160,10,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,VENDOR_OR_CONTRACTOR,"Claude, run by IN",46286,"Wyoming LLC providing remote patient monitoring, chronic care management and 24/7 health coaching, working alongside physicians. Private service company, not a provider organization. https://communitystrongwy.com/",ORG_WEBSITE
64,AR,North Arkansas Rural Health Consortium,North Arkansas Rural Health Consortium,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,Deckmax (doing business as the North Arkansas Rural Health Consortium,GENERAL_KNOWLEDGE
65,MD,Cornerstone Southern Maryland,Cornerstone Southern Maryland,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Private nonprofit behavioral health organization (formerly Southern Maryland Community Network), affiliate of Cornerstone Montgomery; MD RHTP award is for a mobile behavioral health clinic. https://calvertchamber.org/?p=39917",ORG_WEBSITE
66,MD,Kennedy Krieger Institute,Kennedy Krieger Institute,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Nonprofit 70-bed specialty pediatric hospital (inpatient rehab/neurobehavioral) with 50+ outpatient clinics, affiliated with Johns Hopkins; award is a virtual/mobile pediatric specialty front door for 18 rural counties. https://www.kennedykrieger.org/patient-care/centers-and-programs/inpatient-programs",ORG_WEBSITE
67,MI,Lakeshore Food Club,Lakeshore Food Club,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Nonprofit community food club / pantry (Holland area). [Org type from general knowledge; URL is the award source.],GENERAL_KNOWLEDGE
68,MI,Thumb Community Health Partnership,Thumb Community Health Partnership,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,1000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Regional health collaborative for Huron, Lapeer, Sanilac and Tuscola counties (hospitals, county health departments, human service agencies); MDHHS SDOH hub lead for the Thumb. Its 2023 MI Health Endowment Fund grant was held by Sanilac County Health Department, so the fiscal agent may be a county body. https://mcrh.msu.edu/news-and-events/news/2025/09/sor-sept-2025",ORG_WEBSITE
69,OR,Oregon Council on Developmental Disabilities (ODHS),Oregon Council on Developmental Disabilities (ODHS),OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,1000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,LOCAL_GOVT_OR_PUBLIC_HEALTH,"Claude, run by IN",46286,State Council on Developmental Disabilities housed in ODHS (state government); OHA says the funded work is expansion of the Oregon Consortium of Family Networks. Classified like the Kansas DD Council (state body). https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
70,MD,Frostburg Housing Authority,Frostburg Housing Authority,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,997346,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,LOCAL_GOVT_OR_PUBLIC_HEALTH,"Claude, run by IN",46286,"Public housing authority (government body), not a health provider; MD RHTP award funds a community wellness hub and transit integration in Allegany/Garrett. https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf",GENERAL_KNOWLEDGE
71,OR,Wallowa Valley Center for Wellness,Wallowa Valley Center for Wellness,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,965661,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Community mental health program for Wallowa County; OHA describes it as a community mental health program partnering with school districts. Classified with other CMHCs. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
