state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,organisation_award_total,round_name,announcement_date,source_archive_path
AR,11,"Carriage Hill Family Care, PLLC",150000,PHYSICIAN_PRACTICE,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $150,000.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a clinical practice.,MEDIUM,AMOUNT_PRELIMINARY,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: name states a clinical practice. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",150000,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,12,Children's Advocacy Centers of Arkansas,1374505.29,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $1,374,505.29 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",1374505.29,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,13,"Community Health Centers of Arkansas, Inc.",2041804,FQHC_OR_RHC,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $2,041,804.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: community/primary health center.,MEDIUM,AMOUNT_PRELIMINARY,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: community/primary health center. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",2041804,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,14,Conway Regional Health System,795960,HOSPITAL_OR_SYSTEM,Yes,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $795,960.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a health system.,MEDIUM,AMOUNT_PRELIMINARY,PACT,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a health system. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",795960,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,15,North Arkansas Rural Health Consortium,1000000,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $1,000,000.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",1000000,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,16,Delta Memorial Hospital,24720,HOSPITAL_OR_SYSTEM,Yes,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $24,720.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_PRELIMINARY,PACT,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",24720,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,17,Doula Alliance of Arkansas,860500,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $860,500.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",860500,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,18,Harbor House Inc. of Fort Smith Arkansas,37230,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $37,230.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",37230,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,19,Jefferson Hospital Association,3000000,HOSPITAL_OR_SYSTEM,Yes,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $3,000,000.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_PRELIMINARY,PACT,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",3000000,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,20,"John Ed Chambers Memorial Hospital, Inc.",2187999.96,HOSPITAL_OR_SYSTEM,Yes,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $2,187,999.96 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_PRELIMINARY,PACT,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",2187999.96,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,21,Johnson Regional Medical Center,974455,HOSPITAL_OR_SYSTEM,Yes,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $974,455.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a medical center.,MEDIUM,AMOUNT_PRELIMINARY,THRIVE,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",974455,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,22,LilyLink/The Perinatal Center,871736,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $871,736.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",871736,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,23,Mercy Health Fort Smith Communities,6340043,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $19,056,249.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",19056249,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,24,Mercy Health Fort Smith Communities,12716206,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $19,056,249.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",19056249,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
