state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,initiative,activity,awardee_legal_as_published,dba_as_published,facility_state,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,basis_type,round_amount,announcement_date,source_archive_path,page_row
VT,11,Northeast Kingdom Community Action (NEKCA),271589.15,NONPROFIT_CBO,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Northeast Kingdom Community Action (NEKCA),,,rhtp_classify_recipient_type() on the name: NONPROFIT_CBO/LOW.,LOW,RECIPIENT_TYPE_INFERRED,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,11
VT,12,Community Health Centers- Rutland,2000000,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Community Health Centers- Rutland,,VT,"TYPED (session 54): A shortened spelling of Community Health Centers of the Rutland Region (CMS FQHC); the bridge is a reading, so LOW. Classifier said FQHC_OR_RHC/MEDIUM.",LOW,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",GENERAL_KNOWLEDGE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,12
VT,13,Little Rivers Health Care,1320085,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Little Rivers Health Care,,VT,"TYPED (session 54): CMS FQHC Enrollment: LITTLE RIVERS HEALTH CARE, INC. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,13
VT,14,Primary Care Health Partners,415332.03,PHYSICIAN_PRACTICE,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Primary Care Health Partners,,VT,"TYPED (session 54): Independent primary-care practice group, by general knowledge. Classifier said NONPROFIT_CBO/LOW.",LOW,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",GENERAL_KNOWLEDGE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,14
VT,15,Brattleboro Memorial Hospital,603750,HOSPITAL_OR_SYSTEM,Yes,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Brattleboro Memorial Hospital,,VT,"TYPED (session 54): CMS Hospital Enrollment: BRATTLEBORO MEMORIAL HOSPITAL, CCN 470011. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",HIGH,,Regionalization,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: the recipient is a hospital (CMS Hospital Enrollment: BRATTLEBORO MEMORIAL HOSPITAL, CCN 470011.) and AHS lists the agreement as EXECUTED. §0.3a judges the recipient, not the activity.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,15
VT,16,Rutland Center for Living and Rehabilitation,1299000,OTHER,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Rutland Center for Living and Rehabilitation,,VT,"TYPED (session 54): NURSING FACILITY. CMS SNF Enrollment carries this string as the DBA of 46 NICHOLS STREET OPCO LLC, CCN 475039. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Determined form: NURSING FACILITY. CMS SNF Enrollment carries this string as the DBA of 46 NICHOLS STREET OPCO LLC, CCN 475039.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,16
VT,17,"Lamoille Community House, Inc.",596760.86,NONPROFIT_CBO,No,"Executed agreement, Regionalization: Transformation, innovation, and regionalization support grants. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,"Transformation, innovation, and regionalization support grants","Lamoille Community House, Inc.",,,rhtp_classify_recipient_type() on the name: NONPROFIT_CBO/LOW.,LOW,RECIPIENT_TYPE_INFERRED,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,17
VT,18,Central Vermont Medical Center Inc.,167034.38,HOSPITAL_OR_SYSTEM,Yes,"Executed agreement, Regionalization: Transformation, innovation, and regionalization support grants. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,"Transformation, innovation, and regionalization support grants",Central Vermont Medical Center Inc.,,VT,"TYPED (session 54): CMS Hospital Enrollment: CENTRAL VERMONT MEDICAL CENTER INC, CCN 470001. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",HIGH,,Regionalization,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: the recipient is a hospital (CMS Hospital Enrollment: CENTRAL VERMONT MEDICAL CENTER INC, CCN 470001.) and AHS lists the agreement as EXECUTED. §0.3a judges the recipient, not the activity.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,18
VT,19,Northern Counties Health Care,226194.7,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Transformation, innovation, and regionalization support grants. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,"Transformation, innovation, and regionalization support grants",Northern Counties Health Care,,VT,TYPED (session 54): CMS FQHC Enrollment: NORTHERN COUNTIES HEALTH CARE INC (St. Johnsbury Community Health Center and others). Classifier said NONPROFIT_CBO/LOW.,MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,19
VT,20,Mary Hitchcock Memorial Hospital,603680.8,HOSPITAL_OR_SYSTEM,Yes,"Executed agreement, Regionalization: Mobile units offering medical, dental and integrated Mental Health (MH) and Substance Use Disorder (SUD) services. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,"Mobile units offering medical, dental and integrated Mental Health (MH) and Substance Use Disorder (SUD) services",Mary Hitchcock Memorial Hospital*,,NH,"TYPED (session 54): CMS Hospital Enrollment: MARY HITCHCOCK MEMORIAL HOSPITAL, CCN 300003, LEBANON NH. OUT-OF-STATE FACILITY, counted under Vermont by owner decision (session 54): the page stars it, '*RHT funding is specific to services and activities benefiting Vermont patients'. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",HIGH,,Regionalization,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: the recipient is a hospital (CMS Hospital Enrollment: MARY HITCHCOCK MEMORIAL HOSPITAL, CCN 300003, LEBANON NH. OUT-OF-STATE FACILITY, counted under Vermont by owner decision (session 54): the page stars it, '*RHT funding is specific to services and activities benefiting Vermont patients'.) and AHS lists the agreement as EXECUTED. §0.3a judges the recipient, not the activity.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,20
VT,21,"Little Rivers Health Care, Inc. (LRHC)",238672.57,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Mobile units offering medical, dental and integrated Mental Health (MH) and Substance Use Disorder (SUD) services. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,"Mobile units offering medical, dental and integrated Mental Health (MH) and Substance Use Disorder (SUD) services","Little Rivers Health Care, Inc. (LRHC)",,VT,"TYPED (session 54): CMS FQHC Enrollment: LITTLE RIVERS HEALTH CARE, INC. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,21
VT,22,Richford Health Center Inc DBA Northern Tier Center for Health (NOTCH),282419,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Mobile units offering medical, dental and integrated Mental Health (MH) and Substance Use Disorder (SUD) services. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,"Mobile units offering medical, dental and integrated Mental Health (MH) and Substance Use Disorder (SUD) services",Richford Health Center Inc,Northern Tier Center for Health (NOTCH),VT,"TYPED (session 54): CMS FQHC Enrollment: THE RICHFORD HEALTH CENTER, INC. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,22
