state,record_id,awardee_name_raw,amount_announced,source_doc_title,solicitation_number,new_flags,state_program_basis,registry_program,registry_disposition,action_date,action_date_basis,prior_qa_status,prior_flag_reason
TX,eec7f1db-cacc-4a17-a9f4-a74a34868c65,City of Houston,13161000,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,5787cf51-7eeb-4be9-b476-41c9728924a0,Hillcrest Baptist Medical Center,12525030,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,b552e3bd-4e92-4964-be5e-b752cfe8d91a,The Children's Shelter,12261427,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,25d3c096-dce5-42d7-99d4-f919ed3997b1,Baylor College of Medicine,11866074,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,9431cc78-86b2-496d-9fc0-195f329f8de4,Ascend Dallas,11461339,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,a16836bc-e9cc-4505-9c46-b683297b6065,Texas Tech University Health Science Center,8534768,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,744ed484-1125-4422-8dcb-080554ddec0a,Dallas County Hospital District,7628408,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,356675d7-f32e-42e7-95e7-d455b93d7ece,Doctors Hospital at Renaissance,7077224,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,b6032451-8a32-4407-9cd0-7103e04d9487,Tarrant County,6836588,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,5ee18994-f8e7-4e32-83e3-6e0ba9943956,El Paso County Hospital District,6779813,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,f0b80c59-7003-4266-b27b-5c43da7c4496,City of Port Arthur,6637547,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,31f3fc42-0a34-4465-848d-87d5a0df1fae,North Texas Area United Way,2361458,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,41265ba1-86ca-485e-9f1d-7be1b768ffa7,United Way of Metropolitan Dallas,2250000,TX - 2026 - HHSC PCS Grant Award - HHS0015358,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015358,NOT_RHTP_STATE_PROGRAM,2024-12-17,"REGISTRY: RFA 'Release Date : December 17, 2024', printed on HHSC's RFA page (archived).",FLAGGED,SOURCE_DOCUMENT_UNRESOLVED
TX,3f1076b8-368b-4844-b694-beacdb15b255,United Way of San Antonio and Bexar County,2250000,TX - 2026 - HHSC PCS Grant Award - HHS0015358,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015358,NOT_RHTP_STATE_PROGRAM,2024-12-17,"REGISTRY: RFA 'Release Date : December 17, 2024', printed on HHSC's RFA page (archived).",FLAGGED,SOURCE_DOCUMENT_UNRESOLVED
TX,07208b9c-adcc-4c9e-aa17-7a5b48aef6b4,BCFS Health and Human Services,1980000,TX - 2026 - HHSC PCS Grant Award - HHS0015358,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015358,NOT_RHTP_STATE_PROGRAM,2024-12-17,"REGISTRY: RFA 'Release Date : December 17, 2024', printed on HHSC's RFA page (archived).",FLAGGED,SOURCE_DOCUMENT_UNRESOLVED
TX,b2977872-0539-4e3b-b53f-cc5283804dbb,"El Paso Center for Children, Inc.",1933000,TX - 2026 - HHSC PCS Grant Award - HHS0015358,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015358,NOT_RHTP_STATE_PROGRAM,2024-12-17,"REGISTRY: RFA 'Release Date : December 17, 2024', printed on HHSC's RFA page (archived).",FLAGGED,SOURCE_DOCUMENT_UNRESOLVED
TX,eae1d41e-d493-4f96-bfa8-296fc73fc846,Easter Seals Rio Grande Valley,1600000,TX - 2026 - HHSC PCS Grant Award - HHS0015358,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015358,NOT_RHTP_STATE_PROGRAM,2024-12-17,"REGISTRY: RFA 'Release Date : December 17, 2024', printed on HHSC's RFA page (archived).",FLAGGED,SOURCE_DOCUMENT_UNRESOLVED
TX,7246cb38-26b9-41cc-8950-44527420d82a,Baylor Scott & White Medical Center – Brenham,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,5f53dfde-e14c-4939-abd9-074b454b26e3,Comanche County Consolidated Hospital District dba Comanche County EMS,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,09db5872-5b46-4cce-b1e0-3708882a04f5,Concho County Hospital District,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,29938367-5e07-4edb-a89f-ac9a0b332c61,"Crockett Medical Center, LLC",350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,2cc394a1-3889-4b7e-83db-df65aa265202,Dimmit Regional Hospital,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,6eb7717d-7a6b-451e-a753-7b6036e83268,El Campo Memorial Hospital,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,c157b8a9-5d94-4372-bd8e-3d8505b42570,Electra Memorial Hospital,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
TX,aac03fe6-79ae-42fa-86d2-b333c603d6e6,Fairfield Hospital District dba Freestone Medical Center,350000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,,PROVENANCE_STATE_PROGRAM;PROVENANCE_PREDATES_NOA,REGISTRY,TX-HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"REGISTRY: RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page",QUARANTINED,PROVENANCE_PREDATES_NOA;PROVENANCE_STATE_PROGRAM
