file,row,awardee,recipient_type,grade,ccn,cms_org,verdict
ak_year1_awardees.csv,109,Arctic Slope Native Association,TRIBAL_ORG,LEGAL,021312,ARCTIC SLOPE NATIVE ASSOCIATION LTD,"HELD: Alaska's own Organization Type states 'Tribal Health Organization'. CMS: ARCTIC SLOPE NATIVE ASSOCIATION LTD, CCN 021312, Samuel Simmonds Memorial Hospital (CAH)."
ak_year1_awardees.csv,167,Providence Health & Services- Washington,HOSPITAL_OR_SYSTEM,LEGAL,020001,PROVIDENCE HEALTH & SERVICES WASHINGTON,APPLIED: EXACT_LEGAL_NAME
ak_year1_awardees.csv,210,"Alaska Psychiatric Institute, Department of Family & Community Services",STATE_AGENCY,DBA,024002,STATE OF ALASKA DEPARTMENT OF ADMINISTRATION,"HELD: Alaska's own Organization Type states 'State Agency', and the awardee names a state department. CMS enrols API as a DBA of the STATE OF ALASKA DEPARTMENT OF ADMINISTRATION (CCN 024002), a different department: a DBA match, not the legal entity the award names."
mi_year1_awardees.csv,118,Regents of the University of Michigan - Ready to Respond: Rural Nursing Home Emergency Preparedness,HOSPITAL_OR_SYSTEM,LEGAL,230046,REGENTS OF THE UNIVERSITY OF MICHIGAN,APPLIED: EXACT_LEGAL_NAME
mi_year1_awardees.csv,119,Regents of the University of Michigan - Overdose Prevention Engagement Network (OPEN),HOSPITAL_OR_SYSTEM,LEGAL,230046,REGENTS OF THE UNIVERSITY OF MICHIGAN,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,72,Lake Health District,FQHC_OR_RHC,LEGAL,381309,LAKE HEALTH DISTRICT,"HELD: OHA pays this award from its Rural Health Clinic pool under its own Organization Type 'Rural Health Clinic' (session 17 recorded the 23 hospital-owned RHCs and did not re-code them). CMS: CCN 381309, Lake District Hospital (CAH)."
or_year1_awardees.csv,97,Providence Hood River Memorial Hospital,FQHC_OR_RHC,DBA,381318,PROVIDENCE HEALTH & SERVICES OREGON,"HELD: OHA's Rural Health Clinic table, Organization Type 'Rural Health Clinic'. CMS carries the string as a DBA of PROVIDENCE HEALTH & SERVICES OREGON (CCN 381318), not as a legal name."
or_year1_awardees.csv,98,Providence Seaside Hospital - Providence Cannon Beach Clinic,FQHC_OR_RHC,DBA,381303,PROVIDENCE HEALTH & SERVICES OREGON,"HELD: OHA's Rural Health Clinic table; the awardee is a clinic SITE of Providence Seaside Hospital (a DBA of Providence Health & Services Oregon, CCN 381303)."
or_year1_awardees.csv,99,Providence Seaside Hospital - Providence Seaside Clinic,FQHC_OR_RHC,DBA,381303,PROVIDENCE HEALTH & SERVICES OREGON,"HELD: OHA's Rural Health Clinic table; the awardee is a clinic SITE of Providence Seaside Hospital (a DBA of Providence Health & Services Oregon, CCN 381303)."
or_year1_awardees.csv,100,Providence Seaside Hospital - Providence Warrenton Clinic,FQHC_OR_RHC,DBA,381303,PROVIDENCE HEALTH & SERVICES OREGON,"HELD: OHA's Rural Health Clinic table; the awardee is a clinic SITE of Providence Seaside Hospital (a DBA of Providence Health & Services Oregon, CCN 381303)."
or_year1_awardees.csv,101,Saint Alphonsus Medical Center - Baker City,FQHC_OR_RHC,LEGAL,381315,SAINT ALPHONSUS MEDICAL CENTER BAKER CITY INC,"HELD: OHA's Rural Health Clinic table, Organization Type 'Rural Health Clinic'. CMS enrols SAINT ALPHONSUS MEDICAL CENTER - BAKER CITY INC (CCN 381315, a CAH) -- a legal-name match, held for the same reason as Lake Health District."
or_year1_awardees.csv,188,"Oregon Health & Science University, Northwest Native American Center of Excellence (NNACoE)",HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,189,"Oregon Health & Science University, Oregon Health & Science University - Department of Neurology",HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,190,"Oregon Health & Science University, Oregon Health & Science University - Section of Addiction Medicine",HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,191,"Oregon Health & Science University, Oregon Perinatal Collaborative",HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,192,"Oregon Health & Science University, University Center for Excellence on Development and Disability",HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,194,Oregon Office of Rural Health at Oregon Health & Science University,HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
or_year1_awardees.csv,244,Oregon Health & Science University (OHSU),HOSPITAL_OR_SYSTEM,LEGAL,380009,OREGON HEALTH & SCIENCE UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
ok_year1_awardees.csv,3,Choctaw Nation of Oklahoma,HOSPITAL_OR_SYSTEM,LEGAL,370172,CHOCTAW NATION OF OKLAHOMA,APPLIED: EXACT_LEGAL_NAME
nv_year1_awardees.csv,128,Carson Valley Health,HOSPITAL_OR_SYSTEM,DBA,291306,WASHOE BARTON MEDICAL CLINIC A NEVADA NONPROFIT CORPORATION,APPLIED: DBA_OF_LEGAL_ENTITY
ar_year1_awardees.csv,34,University of Arkansas for Medical Sciences,HOSPITAL_OR_SYSTEM,LEGAL,040016,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,APPLIED: EXACT_LEGAL_NAME
ar_year1_awardees.csv,35,University of Arkansas for Medical Sciences,HOSPITAL_OR_SYSTEM,LEGAL,040016,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,APPLIED: EXACT_LEGAL_NAME
ar_year1_round2_awardees.csv,36,University of Arkansas for Medical Sciences,HOSPITAL_OR_SYSTEM,LEGAL,040016,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,APPLIED: EXACT_LEGAL_NAME
ar_year1_round2_awardees.csv,37,University of Arkansas for Medical Sciences,HOSPITAL_OR_SYSTEM,LEGAL,040016,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,APPLIED: EXACT_LEGAL_NAME
wy_year1_awardees.csv,31,University of Utah,HOSPITAL_OR_SYSTEM,LEGAL,460009,UNIVERSITY OF UTAH,APPLIED: EXACT_LEGAL_NAME
wa_year1_awardees.csv,4,University of Washington (WWAMI Family Medicine Residency Network),HOSPITAL_OR_SYSTEM,LEGAL,500008,UNIVERSITY OF WASHINGTON,APPLIED: EXACT_LEGAL_NAME
wa_year1_awardees.csv,6,"University of Washington (School of Medicine, Project ECHO)",HOSPITAL_OR_SYSTEM,LEGAL,500008,UNIVERSITY OF WASHINGTON,APPLIED: EXACT_LEGAL_NAME
la_year1_awardees.csv,1,Ochsner Clinic Foundation,HOSPITAL_OR_SYSTEM,LEGAL,190036,OCHSNER CLINIC FOUNDATION,APPLIED: EXACT_LEGAL_NAME
