state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,counties,award_pool,awardee_as_published,recipient_type_source,determination_confidence,flag_reason,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,round_amount,announcement_date,source_archive_path,basis_type,verified_by,verified_basis
NY,11,Columbia Memorial Hospital,1775325,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Columbia Greene. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330094,NA,NA,NA,Columbia Greene,Rural Community Health Integration (RCHI),Columbia Memorial Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS ORGANIZATION NAME, Hudson [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS ORGANIZATION NAME, Hudson"
NY,12,Community Memorial Hospital,1581930,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Madison Oneida. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,331316,NA,NA,NA,Madison Oneida,Rural Community Health Integration (RCHI),Community Memorial Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS ORGANIZATION NAME, Hamilton (Madison County, an award county) [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS ORGANIZATION NAME, Hamilton (Madison County, an award county)"
NY,13,Coordinated Behavioral Health Services,926755,NONPROFIT_CBO,Unclear,"RCHI lead applicant; counties: Dutchess Orange Putnam Sullivan Ulster. The lead is NOT a hospital. RCHI required a hospital partner, and the roster names only the lead, so a hospital's presence is a fact about the APPLICATION and not about where a dollar went (§7, the third eligible class).",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,NA,NA,NA,NA,Dutchess Orange Putnam Sullivan Ulster,Rural Community Health Integration (RCHI),Coordinated Behavioral Health Services,machine: NONPROFIT_CBO/LOW,LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Coordinated Behavioral Health Services,"§7 third eligible class: the lead is not a hospital and the roster names no partner hospital, so PASS_THROUGH_UNRESOLVED / Unclear -- a required partner is not a recipient. Form: REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,NA,session 52 (hand-read against CMS enrolment),REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).
NY,14,East Hill Family Medical,250000,FQHC_OR_RHC,Unclear,"RCHI lead applicant; counties: Cayuga. The lead is NOT a hospital. RCHI required a hospital partner, and the roster names only the lead, so a hospital's presence is a fact about the APPLICATION and not about where a dollar went (§7, the third eligible class).",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,331007,NA,NA,NA,Cayuga,Rural Community Health Integration (RCHI),East Hill Family Medical,machine: NONPROFIT_CBO/LOW,MEDIUM,ELIGIBILITY_NOT_RECEIPT,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,East Hill Family Medical,"§7 third eligible class: the lead is not a hospital and the roster names no partner hospital, so PASS_THROUGH_UNRESOLVED / Unclear -- a required partner is not a recipient. Form: CMS FQHC ORGANIZATION NAME, Auburn [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS FQHC ORGANIZATION NAME, Auburn"
NY,15,Elizabethtown Community Hospital,1000000,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Essex. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,331302,NA,NA,NA,Essex,Rural Community Health Integration (RCHI),Elizabethtown Community Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS ORGANIZATION NAME, Elizabethtown [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS ORGANIZATION NAME, Elizabethtown"
NY,16,Ellenville Regional Hospital,3000000,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Ulster. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,331310,NA,NA,NA,Ulster,Rural Community Health Integration (RCHI),Ellenville Regional Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS DBA, Ellenville [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS DBA, Ellenville"
NY,17,Ellenville Regional Hospital,500000,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Ulster. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,331310,NA,NA,NA,Ulster,Rural Community Health Integration (RCHI),Ellenville Regional Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS DBA, Ellenville [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS DBA, Ellenville"
NY,18,F.F. Thompson Hospital,1178100,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Ontario. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330074,NA,NA,NA,Ontario,Rural Community Health Integration (RCHI),F.F. Thompson Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,LOW,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: BRIDGE: CMS 'THE FREDERICK FERRIS THOMPSON HOSPITAL', Canandaigua (Ontario, this row's county); F.F. are its initials [GENERAL_KNOWLEDGE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,GENERAL_KNOWLEDGE,session 52 (hand-read against CMS enrolment),"BRIDGE: CMS 'THE FREDERICK FERRIS THOMPSON HOSPITAL', Canandaigua (Ontario, this row's county); F.F. are its initials"
NY,19,Fort Drum Regional Health Planning Org,2482537,NONPROFIT_CBO,Unclear,"RCHI lead applicant; counties: Jefferson Lewis St. Lawrence. The lead is NOT a hospital. RCHI required a hospital partner, and the roster names only the lead, so a hospital's presence is a fact about the APPLICATION and not about where a dollar went (§7, the third eligible class).",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,NA,NA,NA,NA,Jefferson Lewis St. Lawrence,Rural Community Health Integration (RCHI),Fort Drum Regional Health Planning Org,machine: NONPROFIT_CBO/LOW,LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Fort Drum Regional Health Planning Org,"§7 third eligible class: the lead is not a hospital and the roster names no partner hospital, so PASS_THROUGH_UNRESOLVED / Unclear -- a required partner is not a recipient. Form: REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,NA,session 52 (hand-read against CMS enrolment),REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).
NY,20,Geneva General Hospital,679350,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Ontario. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330058,NA,NA,NA,Ontario,Rural Community Health Integration (RCHI),Geneva General Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS ORGANIZATION NAME, Geneva [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS ORGANIZATION NAME, Geneva"
